Datetime,Activity_Type
2022-12-08 00:54:00,Light Sleep
2022-12-08 00:55:00,Light Sleep
2022-12-08 00:57:00,Light Sleep
2022-12-08 01:50:00,Running
2022-12-08 01:53:00,Running
2022-12-08 01:54:00,Light Sleep
2022-12-08 02:22:00,Light Sleep
2022-12-08 02:37:00,Floors Climbed
2022-12-08 02:46:00,REM Sleep
2022-12-08 02:52:00,Running
2022-12-08 03:31:00,No Physical Activity
2022-12-08 03:33:00,Running
2022-12-08 03:33:00,Light Sleep
2022-12-08 03:34:00,No Physical Activity
2022-12-08 03:40:00,Floors Climbed
2022-12-08 03:48:00,Running
2022-12-08 03:53:00,Floors Climbed
2022-12-08 05:31:00,No Physical Activity
2022-12-08 05:32:00,No Physical Activity
2022-12-08 05:32:00,Light Sleep
2022-12-08 05:32:00,Floors Climbed
2022-12-08 05:39:00,Light Sleep
2022-12-08 06:31:00,Running
2022-12-08 09:30:00,No Physical Activity
2022-12-08 10:32:00,No Physical Activity
2022-12-08 11:25:00,Light Sleep
2022-12-08 12:22:00,No Physical Activity
2022-12-08 12:26:00,Running
2022-12-08 13:15:00,No Physical Activity
2022-12-08 14:18:00,No Physical Activity
2022-12-08 15:15:00,No Physical Activity
2022-12-08 16:07:00,Floors Climbed
2022-12-08 16:15:00,No Physical Activity
2022-12-08 17:06:00,Floors Climbed
2022-12-08 17:08:00,Light Sleep
2022-12-08 17:13:00,Running
2022-12-08 18:05:00,Light Sleep
2022-12-08 19:12:00,Floors Climbed
2022-12-08 20:06:00,Light Sleep
2022-12-08 20:12:00,Running
2022-12-08 21:10:00,No Physical Activity
2022-12-08 22:02:00,Running
2022-12-08 22:02:00,No Physical Activity
2022-12-08 22:03:00,Running
2022-12-08 22:04:00,Walking
2022-12-08 22:08:00,Light Sleep
2022-12-09 00:35:00,No Physical Activity
2022-12-09 00:38:00,Light Sleep
2022-12-09 01:43:00,Running
2022-12-09 01:51:00,Running
2022-12-09 01:53:00,Running
2022-12-09 01:53:00,Light Sleep
2022-12-09 01:54:00,Running
2022-12-09 02:36:00,Floors Climbed
2022-12-09 02:43:00,REM Sleep
2022-12-09 02:49:00,Floors Climbed
2022-12-09 02:53:00,Light Sleep
2022-12-09 03:49:00,Walking
2022-12-09 03:49:00,Light Sleep
2022-12-09 03:50:00,REM Sleep
2022-12-09 03:50:00,No Physical Activity
2022-12-09 03:51:00,No Physical Activity
2022-12-09 03:51:00,Running
2022-12-09 03:55:00,Light Sleep
2022-12-09 04:32:00,No Physical Activity
2022-12-09 04:35:00,Floors Climbed
2022-12-09 04:37:00,Light Sleep
2022-12-09 04:37:00,Running
2022-12-09 04:38:00,REM Sleep
2022-12-09 04:48:00,Light Sleep
2022-12-09 05:31:00,No Physical Activity
2022-12-09 05:34:00,Floors Climbed
2022-12-09 05:37:00,Running
2022-12-09 05:38:00,Light Sleep
2022-12-09 05:39:00,Running
2022-12-09 06:23:00,Running
2022-12-09 06:26:00,REM Sleep
2022-12-09 07:26:00,Light Sleep
2022-12-09 07:30:00,Light Sleep
2022-12-09 08:20:00,No Physical Activity
2022-12-09 08:38:00,Light Sleep
2022-12-09 09:33:00,Running
2022-12-09 10:34:00,Floors Climbed
2022-12-09 11:24:00,Running
2022-12-09 12:25:00,Light Sleep
2022-12-09 13:15:00,Floors Climbed
2022-12-09 13:20:00,No Physical Activity
2022-12-09 13:25:00,No Physical Activity
2022-12-09 14:22:00,No Physical Activity
2022-12-09 16:07:00,Light Sleep
2022-12-09 17:12:00,Light Sleep
2022-12-09 17:16:00,Running
2022-12-09 18:05:00,Light Sleep
2022-12-09 18:05:00,REM Sleep
2022-12-09 18:05:00,Light Sleep
2022-12-09 18:10:00,Floors Climbed
2022-12-09 19:08:00,Running
2022-12-09 20:21:00,Running
2022-12-09 21:09:00,No Physical Activity
2022-12-09 21:09:00,Running
2022-12-09 22:00:00,Floors Climbed
2022-12-09 22:03:00,Running
2022-12-09 22:03:00,No Physical Activity
2022-12-09 22:04:00,Running
2022-12-09 22:04:00,No Physical Activity
2022-12-09 22:05:00,Light Sleep
2022-12-09 22:07:00,Running
2022-12-09 22:09:00,Light Sleep
2022-12-10 01:37:00,Walking
2022-12-10 01:37:00,No Physical Activity
2022-12-10 01:44:00,No Physical Activity
2022-12-10 01:47:00,Light Sleep
2022-12-10 01:53:00,No Physical Activity
2022-12-10 01:54:00,Running
2022-12-10 02:40:00,Light Sleep
2022-12-10 02:49:00,REM Sleep
2022-12-10 03:42:00,Light Sleep
2022-12-10 04:34:00,Light Sleep
2022-12-10 05:27:00,Floors Climbed
2022-12-10 06:21:00,Floors Climbed
2022-12-10 06:34:00,Light Sleep
2022-12-10 06:38:00,REM Sleep
2022-12-10 07:31:00,Running
2022-12-10 07:32:00,Light Sleep
2022-12-10 07:34:00,No Physical Activity
2022-12-10 07:40:00,Light Sleep
2022-12-10 08:30:00,No Physical Activity
2022-12-10 09:36:00,Light Sleep
2022-12-10 11:23:00,Light Sleep
2022-12-10 11:30:00,No Physical Activity
2022-12-10 11:34:00,No Physical Activity
2022-12-10 12:15:00,REM Sleep
2022-12-10 15:11:00,REM Sleep
2022-12-10 16:16:00,No Physical Activity
2022-12-10 19:04:00,No Physical Activity
2022-12-10 19:08:00,Light Sleep
2022-12-10 20:22:00,No Physical Activity
2022-12-10 22:03:00,Light Sleep
2022-12-10 22:08:00,REM Sleep
2022-12-10 22:09:00,Light Sleep
2022-12-10 22:09:00,Light Sleep
2022-12-10 22:12:00,No Physical Activity
2022-12-11 00:55:00,No Physical Activity
2022-12-11 01:31:00,Light Sleep
2022-12-11 01:44:00,No Physical Activity
2022-12-11 01:45:00,No Physical Activity
2022-12-11 01:50:00,No Physical Activity
2022-12-11 01:52:00,Light Sleep
2022-12-11 01:54:00,REM Sleep
2022-12-11 02:48:00,REM Sleep
2022-12-11 03:40:00,No Physical Activity
2022-12-11 03:40:00,Floors Climbed
2022-12-11 03:49:00,REM Sleep
2022-12-11 03:52:00,No Physical Activity
2022-12-11 04:28:00,Light Sleep
2022-12-11 04:33:00,Running
2022-12-11 05:29:00,Light Sleep
2022-12-11 05:32:00,Light Sleep
2022-12-11 05:34:00,Floors Climbed
2022-12-11 06:21:00,Light Sleep
2022-12-11 06:33:00,Floors Climbed
2022-12-11 07:31:00,Running
2022-12-11 08:32:00,Light Sleep
2022-12-11 09:28:00,Light Sleep
2022-12-11 10:18:00,Floors Climbed
2022-12-11 10:25:00,Floors Climbed
2022-12-11 11:31:00,Floors Climbed
2022-12-11 17:09:00,Running
2022-12-11 19:14:00,Light Sleep
2022-12-11 20:20:00,Floors Climbed
2022-12-11 22:01:00,Running
2022-12-11 22:03:00,Running
2022-12-11 22:05:00,Light Sleep
2022-12-11 22:06:00,Floors Climbed
2022-12-11 22:07:00,No Physical Activity
2022-12-11 22:07:00,Running
2022-12-11 22:08:00,Floors Climbed
2022-12-11 22:11:00,Light Sleep
2022-12-12 00:42:00,Floors Climbed
2022-12-12 00:51:00,No Physical Activity
2022-12-12 00:52:00,Light Sleep
2022-12-12 01:49:00,Running
2022-12-12 01:52:00,No Physical Activity
2022-12-12 02:37:00,Floors Climbed
2022-12-12 02:51:00,No Physical Activity
2022-12-12 03:38:00,Light Sleep
2022-12-12 03:39:00,Running
2022-12-12 03:54:00,No Physical Activity
2022-12-12 03:55:00,No Physical Activity
2022-12-12 04:33:00,Floors Climbed
2022-12-12 04:39:00,Running
2022-12-12 05:23:00,Running
2022-12-12 05:26:00,REM Sleep
2022-12-12 05:33:00,Floors Climbed
2022-12-12 05:34:00,Walking
2022-12-12 05:34:00,Floors Climbed
2022-12-12 05:36:00,Running
2022-12-12 05:37:00,Walking
2022-12-12 06:20:00,Light Sleep
2022-12-12 06:30:00,Running
2022-12-12 06:40:00,REM Sleep
2022-12-12 06:40:00,No Physical Activity
2022-12-12 06:43:00,REM Sleep
2022-12-12 07:29:00,Light Sleep
2022-12-12 10:15:00,Floors Climbed
2022-12-12 10:25:00,Running
2022-12-12 12:12:00,Light Sleep
2022-12-12 13:15:00,Floors Climbed
2022-12-12 14:19:00,Light Sleep
2022-12-12 15:09:00,Running
2022-12-12 15:23:00,Light Sleep
2022-12-12 18:05:00,Running
2022-12-12 20:11:00,Running
2022-12-12 21:17:00,Running
2022-12-12 22:01:00,Light Sleep
2022-12-12 22:04:00,REM Sleep
2022-12-12 22:05:00,Floors Climbed
2022-12-12 22:05:00,Running
2022-12-12 22:06:00,Light Sleep
2022-12-12 22:08:00,Floors Climbed
2022-12-12 22:09:00,Running
2022-12-13 00:53:00,REM Sleep
2022-12-13 00:53:00,Light Sleep
2022-12-13 01:50:00,Light Sleep
2022-12-13 01:54:00,Floors Climbed
2022-12-13 03:44:00,Running
2022-12-13 03:49:00,Light Sleep
2022-12-13 03:53:00,Light Sleep
2022-12-13 04:26:00,REM Sleep
2022-12-13 04:38:00,Running
2022-12-13 04:45:00,Running
2022-12-13 05:32:00,Light Sleep
2022-12-13 05:33:00,Light Sleep
2022-12-13 05:36:00,REM Sleep
2022-12-13 05:38:00,REM Sleep
2022-12-13 05:47:00,No Physical Activity
2022-12-13 06:22:00,REM Sleep
2022-12-13 06:30:00,Running
2022-12-13 06:32:00,REM Sleep
2022-12-13 06:32:00,Running
2022-12-13 06:34:00,No Physical Activity
2022-12-13 07:26:00,REM Sleep
2022-12-13 07:29:00,Floors Climbed
2022-12-13 07:34:00,Running
2022-12-13 08:25:00,Floors Climbed
2022-12-13 08:30:00,Light Sleep
2022-12-13 09:13:00,Light Sleep
2022-12-13 09:23:00,Light Sleep
2022-12-13 09:29:00,No Physical Activity
2022-12-13 10:29:00,Running
2022-12-13 12:24:00,Light Sleep
2022-12-13 14:20:00,No Physical Activity
2022-12-13 15:09:00,Light Sleep
2022-12-13 15:13:00,Light Sleep
2022-12-13 15:20:00,Running
2022-12-13 16:08:00,Walking
2022-12-13 16:11:00,No Physical Activity
2022-12-13 17:05:00,Light Sleep
2022-12-13 18:08:00,No Physical Activity
2022-12-13 18:14:00,Running
2022-12-13 20:04:00,Running
2022-12-13 22:03:00,Floors Climbed
2022-12-13 22:04:00,No Physical Activity
2022-12-13 22:06:00,Floors Climbed
2022-12-13 22:06:00,Light Sleep
2022-12-14 00:43:00,Walking
2022-12-14 00:43:00,Floors Climbed
2022-12-14 00:51:00,Light Sleep
2022-12-14 01:39:00,Light Sleep
2022-12-14 01:49:00,Running
2022-12-14 01:55:00,Light Sleep
2022-12-14 02:28:00,No Physical Activity
2022-12-14 03:45:00,Running
2022-12-14 03:51:00,Running
2022-12-14 03:52:00,Light Sleep
2022-12-14 03:52:00,No Physical Activity
2022-12-14 04:32:00,Running
2022-12-14 04:32:00,Running
