Datetime,Activity_Type
2022-12-08 02:53:00,2
2022-12-08 03:39:00,5
2022-12-08 03:52:00,1
2022-12-08 03:53:00,1
2022-12-08 04:49:00,5
2022-12-08 05:20:00,2
2022-12-08 05:32:00,1
2022-12-08 06:26:00,1
2022-12-08 08:33:00,4
2022-12-08 08:38:00,3
2022-12-08 18:07:00,2
2022-12-08 22:06:00,5
2022-12-08 22:07:00,1
2022-12-09 01:46:00,3
2022-12-09 01:52:00,2
2022-12-09 02:52:00,1
2022-12-09 02:52:00,2
2022-12-09 03:45:00,1
2022-12-09 03:53:00,2
2022-12-09 05:36:00,5
2022-12-09 06:42:00,3
2022-12-09 07:36:00,2
2022-12-09 08:27:00,1
2022-12-09 08:38:00,1
2022-12-09 09:22:00,1
2022-12-09 09:30:00,1
2022-12-09 12:24:00,5
2022-12-09 12:32:00,1
2022-12-09 17:08:00,1
2022-12-09 17:17:00,3
2022-12-09 18:05:00,1
2022-12-09 19:04:00,1
2022-12-09 20:09:00,3
2022-12-09 20:13:00,1
2022-12-10 00:41:00,1
2022-12-10 00:50:00,2
2022-12-10 00:52:00,4
2022-12-10 01:52:00,3
2022-12-10 02:44:00,5
2022-12-10 02:51:00,1
2022-12-10 03:28:00,3
2022-12-10 03:47:00,3
2022-12-10 05:33:00,1
2022-12-10 06:24:00,1
2022-12-10 06:30:00,2
2022-12-10 08:35:00,2
2022-12-10 09:28:00,5
2022-12-10 12:19:00,1
2022-12-10 15:08:00,1
2022-12-10 17:09:00,3
2022-12-10 20:04:00,3
2022-12-11 02:46:00,1
2022-12-11 03:38:00,3
2022-12-11 03:53:00,3
2022-12-11 04:31:00,1
2022-12-11 05:34:00,3
2022-12-11 06:29:00,1
2022-12-11 06:29:00,3
2022-12-11 07:29:00,5
2022-12-11 08:19:00,2
2022-12-11 08:20:00,5
2022-12-11 08:20:00,1
2022-12-11 11:28:00,5
2022-12-11 13:11:00,1
2022-12-11 15:08:00,1
2022-12-11 20:04:00,2
2022-12-11 21:18:00,1
2022-12-11 22:06:00,1
2022-12-11 22:09:00,3
2022-12-12 00:41:00,1
2022-12-12 02:49:00,3
2022-12-12 03:50:00,3
2022-12-12 04:26:00,2
2022-12-12 04:38:00,3
2022-12-12 04:47:00,3
2022-12-12 11:24:00,3
2022-12-12 12:18:00,1
2022-12-12 12:25:00,3
2022-12-12 22:05:00,2
2022-12-13 01:39:00,1
2022-12-13 01:51:00,4
2022-12-13 02:50:00,1
2022-12-13 03:52:00,2
2022-12-13 04:24:00,2
2022-12-13 05:33:00,1
2022-12-13 05:34:00,5
2022-12-13 05:36:00,2
2022-12-13 08:26:00,1
2022-12-13 09:37:00,5
2022-12-13 16:07:00,2
2022-12-13 16:10:00,2
2022-12-13 17:05:00,1
2022-12-13 18:05:00,1
2022-12-13 21:08:00,2
2022-12-13 22:04:00,3
2022-12-13 22:05:00,1
2022-12-13 22:07:00,3
2022-12-14 00:53:00,4
2022-12-14 01:52:00,3
2022-12-14 01:54:00,1
2022-12-14 02:34:00,1
2022-12-14 03:47:00,4
2022-12-14 03:48:00,2
2022-12-14 03:51:00,1
2022-12-14 04:32:00,1
2022-12-14 04:37:00,3
2022-12-14 04:38:00,1
2022-12-14 04:40:00,3
2022-12-14 05:35:00,2
2022-12-14 10:21:00,4
2022-12-14 11:30:00,2
2022-12-14 14:10:00,1
2022-12-14 15:13:00,5
2022-12-14 17:17:00,2
2022-12-14 22:05:00,1
2022-12-14 22:08:00,2
2022-12-15 00:35:00,2
2022-12-15 00:35:00,1
2022-12-15 00:41:00,1
2022-12-15 00:51:00,2
2022-12-15 00:56:00,1
2022-12-15 01:43:00,3
2022-12-15 01:51:00,3
2022-12-15 02:47:00,1
2022-12-15 02:49:00,1
2022-12-15 02:52:00,1
2022-12-15 02:53:00,2
2022-12-15 03:46:00,2
2022-12-15 03:52:00,2
2022-12-15 03:53:00,5
2022-12-15 03:53:00,2
2022-12-15 04:30:00,3
2022-12-15 05:33:00,1
2022-12-15 05:34:00,1
2022-12-15 06:32:00,1
2022-12-15 10:31:00,2
2022-12-15 14:17:00,2
2022-12-15 15:19:00,1
2022-12-15 21:06:00,1
2022-12-15 22:05:00,2
2022-12-15 22:07:00,2
2022-12-16 00:56:00,3
2022-12-16 01:50:00,4
2022-12-16 02:54:00,2
2022-12-16 03:27:00,1
2022-12-16 03:45:00,1
2022-12-16 03:48:00,1
