Activity_Type,Heart rate___beats/minute,Sleep type duration_minutes,Sleep duration_minutes,Calories burned_kcal,Exercise duration_s,Floors climbed___floors,Code
Light Sleep,85,21,41,,,,93830-8
Light Sleep,62,0,16,,,,93830-8
Light Sleep,50,2,3,,,,93830-8
Light Sleep,49,0,1,,,,93830-8
Light Sleep,50,0,7,,,,93830-8
Light Sleep,82,11,21,,,,93830-8
Light Sleep,76,20,39,,,,93830-8
Light Sleep,77,9,20,,,,93830-8
REM Sleep,50,0,4,,,,93829-0
Light Sleep,83,19,36,,,,93830-8
Light Sleep,58,7,9,,,,93830-8
Light Sleep,83,7,24,,,,93830-8
REM Sleep,64,2,1,,,,93829-0
REM Sleep,52,1,3,,,,93829-0
Light Sleep,55,5,3,,,,93830-8
REM Sleep,51,2,1,,,,93829-0
Light Sleep,83,12,17,,,,93830-8
Light Sleep,80,12,30,,,,93830-8
Light Sleep,84,11,32,,,,93830-8
Light Sleep,84,16,20,,,,93830-8
Light Sleep,84,11,39,,,,93830-8
Light Sleep,52,6,3,,,,93830-8
Light Sleep,81,20,25,,,,93830-8
Light Sleep,68,3,2,,,,93830-8
Light Sleep,76,18,15,,,,93830-8
Light Sleep,77,10,16,,,,93830-8
Light Sleep,81,8,14,,,,93830-8
Light Sleep,55,6,23,,,,93830-8
Light Sleep,70,19,30,,,,93830-8
Light Sleep,76,6,39,,,,93830-8
Light Sleep,84,11,17,,,,93830-8
Light Sleep,56,5,7,,,,93830-8
Light Sleep,76,10,20,,,,93830-8
Light Sleep,58,8,7,,,,93830-8
Light Sleep,85,9,21,,,,93830-8
Light Sleep,85,9,24,,,,93830-8
Light Sleep,83,10,20,,,,93830-8
Light Sleep,76,11,12,,,,93830-8
Light Sleep,84,18,19,,,,93830-8
REM Sleep,57,0,4,,,,93829-0
Light Sleep,78,13,15,,,,93830-8
Light Sleep,78,21,13,,,,93830-8
Light Sleep,56,3,10,,,,93830-8
REM Sleep,57,3,8,,,,93829-0
Light Sleep,79,13,22,,,,93830-8
Light Sleep,54,2,4,,,,93830-8
Light Sleep,81,18,0,,,,93830-8
Light Sleep,73,7,5,,,,93830-8
Light Sleep,72,17,19,,,,93830-8
Light Sleep,85,11,18,,,,93830-8
Light Sleep,82,9,16,,,,93830-8
REM Sleep,64,0,0,,,,93829-0
REM Sleep,50,2,3,,,,93829-0
REM Sleep,57,3,2,,,,93829-0
REM Sleep,50,3,11,,,,93829-0
Light Sleep,49,6,5,,,,93830-8
Light Sleep,50,3,9,,,,93830-8
Light Sleep,83,11,22,,,,93830-8
Light Sleep,85,6,12,,,,93830-8
REM Sleep,53,3,7,,,,93829-0
Light Sleep,74,12,33,,,,93830-8
Light Sleep,51,12,33,,,,93830-8
Light Sleep,61,16,1,,,,93830-8
Light Sleep,62,2,1,,,,93830-8
Light Sleep,76,13,14,,,,93830-8
Light Sleep,78,11,20,,,,93830-8
Light Sleep,57,3,4,,,,93830-8
Light Sleep,69,0,0,,,,93830-8
Light Sleep,61,0,0,,,,93830-8
Light Sleep,79,8,36,,,,93830-8
Light Sleep,83,12,24,,,,93830-8
Light Sleep,75,11,20,,,,93830-8
Light Sleep,55,0,4,,,,93830-8
Light Sleep,84,11,35,,,,93830-8
REM Sleep,55,2,4,,,,93829-0
REM Sleep,70,0,-1,,,,93829-0
REM Sleep,64,1,-1,,,,93829-0
REM Sleep,63,0,0,,,,93829-0
Light Sleep,50,8,20,,,,93830-8
Light Sleep,73,17,18,,,,93830-8
Light Sleep,84,12,21,,,,93830-8
Light Sleep,80,13,12,,,,93830-8
Light Sleep,80,12,26,,,,93830-8
Light Sleep,83,11,32,,,,93830-8
Light Sleep,84,17,14,,,,93830-8
Light Sleep,78,17,5,,,,93830-8
REM Sleep,55,3,4,,,,93829-0
Light Sleep,50,5,4,,,,93830-8
Light Sleep,57,3,9,,,,93830-8
Light Sleep,58,0,1,,,,93830-8
Light Sleep,84,19,0,,,,93830-8
Light Sleep,79,9,36,,,,93830-8
Light Sleep,84,11,13,,,,93830-8
Light Sleep,80,3,4,,,,93830-8
REM Sleep,61,2,3,,,,93829-0
Light Sleep,66,0,0,,,,93830-8
Light Sleep,63,1,0,,,,93830-8
Light Sleep,69,13,25,,,,93830-8
Light Sleep,76,18,30,,,,93830-8
Light Sleep,50,5,3,,,,93830-8
Light Sleep,85,25,20,,,,93830-8
Light Sleep,85,11,12,,,,93830-8
Light Sleep,50,5,6,,,,93830-8
Light Sleep,56,12,20,,,,93830-8
Light Sleep,49,5,8,,,,93830-8
REM Sleep,59,1,3,,,,93829-0
Light Sleep,52,6,8,,,,93830-8
Light Sleep,78,15,24,,,,93830-8
Light Sleep,60,6,9,,,,93830-8
Light Sleep,66,-1,1,,,,93830-8
Light Sleep,57,10,18,,,,93830-8
Light Sleep,52,7,32,,,,93830-8
REM Sleep,63,1,-1,,,,93829-0
Light Sleep,59,2,6,,,,93830-8
Light Sleep,52,0,26,,,,93830-8
REM Sleep,51,0,6,,,,93829-0
REM Sleep,53,0,0,,,,93829-0
Light Sleep,59,6,21,,,,93830-8
Light Sleep,52,16,21,,,,93830-8
REM Sleep,57,3,-1,,,,93829-0
Light Sleep,67,0,10,,,,93830-8
Light Sleep,84,21,24,,,,93830-8
Light Sleep,51,2,8,,,,93830-8
Light Sleep,67,6,25,,,,93830-8
Light Sleep,64,19,12,,,,93830-8
Light Sleep,76,9,29,,,,93830-8
REM Sleep,50,2,4,,,,93829-0
Light Sleep,50,3,6,,,,93830-8
Light Sleep,84,8,14,,,,93830-8
Light Sleep,58,3,6,,,,93830-8
REM Sleep,62,2,4,,,,93829-0
Light Sleep,74,3,9,,,,93830-8
REM Sleep,50,2,6,,,,93829-0
Light Sleep,51,7,14,,,,93830-8
Light Sleep,81,19,34,,,,93830-8
Light Sleep,58,11,20,,,,93830-8
Light Sleep,83,18,20,,,,93830-8
Light Sleep,81,5,9,,,,93830-8
Light Sleep,85,10,29,,,,93830-8
Light Sleep,84,11,15,,,,93830-8
Light Sleep,51,3,2,,,,93830-8
REM Sleep,59,3,6,,,,93829-0
Light Sleep,84,11,36,,,,93830-8
REM Sleep,50,2,1,,,,93829-0
Light Sleep,85,11,42,,,,93830-8
Light Sleep,80,19,19,,,,93830-8
Light Sleep,66,8,1,,,,93830-8
Light Sleep,80,5,14,,,,93830-8
REM Sleep,48,1,0,,,,93829-0
REM Sleep,50,0,-1,,,,93829-0
Light Sleep,58,7,35,,,,93830-8
REM Sleep,52,2,6,,,,93829-0
Light Sleep,69,9,0,,,,93830-8
Light Sleep,83,5,26,,,,93830-8
Light Sleep,54,5,6,,,,93830-8
Light Sleep,78,8,17,,,,93830-8
Light Sleep,86,5,6,,,,93830-8
Light Sleep,85,8,21,,,,93830-8
Light Sleep,52,5,19,,,,93830-8
Light Sleep,77,6,6,,,,93830-8
REM Sleep,51,2,3,,,,93829-0
Light Sleep,79,7,20,,,,93830-8
Light Sleep,84,16,20,,,,93830-8
REM Sleep,51,2,4,,,,93829-0
REM Sleep,67,-1,0,,,,93829-0
Light Sleep,65,17,22,,,,93830-8
Light Sleep,56,13,29,,,,93830-8
REM Sleep,51,3,2,,,,93829-0
REM Sleep,60,2,6,,,,93829-0
Light Sleep,69,10,23,,,,93830-8
Light Sleep,58,4,7,,,,93830-8
REM Sleep,72,0,0,,,,93829-0
Light Sleep,84,6,16,,,,93830-8
Light Sleep,60,4,4,,,,93830-8
Light Sleep,77,13,35,,,,93830-8
Light Sleep,85,6,16,,,,93830-8
Light Sleep,59,4,4,,,,93830-8
Light Sleep,68,-1,0,,,,93830-8
Light Sleep,58,7,20,,,,93830-8
Light Sleep,76,12,12,,,,93830-8
Light Sleep,76,17,9,,,,93830-8
REM Sleep,60,6,-1,,,,93829-0
REM Sleep,65,-1,0,,,,93829-0
Light Sleep,85,9,24,,,,93830-8
Light Sleep,78,17,18,,,,93830-8
Light Sleep,78,20,36,,,,93830-8
Light Sleep,57,3,7,,,,93830-8
Light Sleep,85,7,25,,,,93830-8
Light Sleep,76,5,8,,,,93830-8
Light Sleep,60,5,9,,,,93830-8
Light Sleep,51,2,4,,,,93830-8
Light Sleep,84,10,28,,,,93830-8
Light Sleep,85,10,3,,,,93830-8
REM Sleep,74,1,-1,,,,93829-0
Light Sleep,76,9,11,,,,93830-8
Light Sleep,49,19,1,,,,93830-8
Light Sleep,51,3,7,,,,93830-8
Light Sleep,56,2,7,,,,93830-8
Light Sleep,50,8,19,,,,93830-8
Light Sleep,72,19,35,,,,93830-8
Light Sleep,73,1,2,,,,93830-8
Light Sleep,78,14,44,,,,93830-8
Light Sleep,55,8,25,,,,93830-8
Light Sleep,66,8,14,,,,93830-8
Light Sleep,57,7,2,,,,93830-8
REM Sleep,49,4,3,,,,93829-0
Light Sleep,82,12,24,,,,93830-8
Light Sleep,81,16,20,,,,93830-8
Light Sleep,51,6,7,,,,93830-8
Light Sleep,76,5,13,,,,93830-8
Light Sleep,82,8,23,,,,93830-8
Light Sleep,78,10,5,,,,93830-8
Light Sleep,78,18,12,,,,93830-8
Light Sleep,50,14,32,,,,93830-8
Light Sleep,83,13,20,,,,93830-8
REM Sleep,56,1,3,,,,93829-0
Light Sleep,51,5,3,,,,93830-8
Light Sleep,81,9,30,,,,93830-8
REM Sleep,51,-1,0,,,,93829-0
Light Sleep,69,9,33,,,,93830-8
Light Sleep,82,17,7,,,,93830-8
Light Sleep,77,8,23,,,,93830-8
REM Sleep,52,1,2,,,,93829-0
Light Sleep,76,10,18,,,,93830-8
REM Sleep,53,1,8,,,,93829-0
Light Sleep,74,6,42,,,,93830-8
Light Sleep,74,19,25,,,,93830-8
Light Sleep,84,18,41,,,,93830-8
REM Sleep,51,1,5,,,,93829-0
Light Sleep,50,7,9,,,,93830-8
Light Sleep,59,5,-1,,,,93830-8
Light Sleep,81,12,20,,,,93830-8
Light Sleep,56,6,3,,,,93830-8
Light Sleep,84,11,4,,,,93830-8
Light Sleep,84,11,21,,,,93830-8
Light Sleep,50,8,30,,,,93830-8
REM Sleep,49,3,5,,,,93829-0
Light Sleep,79,10,28,,,,93830-8
Light Sleep,60,11,24,,,,93830-8
Light Sleep,84,9,13,,,,93830-8
Light Sleep,83,12,24,,,,93830-8
Light Sleep,79,17,9,,,,93830-8
Light Sleep,58,7,23,,,,93830-8
Light Sleep,83,19,20,,,,93830-8
Light Sleep,75,8,10,,,,93830-8
Light Sleep,49,9,35,,,,93830-8
REM Sleep,51,1,-1,,,,93829-0
REM Sleep,57,2,8,,,,93829-0
Light Sleep,85,12,10,,,,93830-8
Light Sleep,83,1,0,,,,93830-8
Light Sleep,72,11,1,,,,93830-8
REM Sleep,67,0,-1,,,,93829-0
Light Sleep,56,5,6,,,,93830-8
Light Sleep,57,20,9,,,,93830-8
Light Sleep,57,5,8,,,,93830-8
Light Sleep,65,0,1,,,,93830-8
Light Sleep,52,4,3,,,,93830-8
Light Sleep,83,6,13,,,,93830-8
REM Sleep,72,3,3,,,,93829-0
Light Sleep,54,2,29,,,,93830-8
REM Sleep,55,3,4,,,,93829-0
Light Sleep,59,3,10,,,,93830-8
REM Sleep,50,0,1,,,,93829-0
Light Sleep,84,18,27,,,,93830-8
Light Sleep,56,4,1,,,,93830-8
Light Sleep,85,19,14,,,,93830-8
REM Sleep,52,1,0,,,,93829-0
Light Sleep,56,4,8,,,,93830-8
REM Sleep,48,2,1,,,,93829-0
Light Sleep,77,16,11,,,,93830-8
REM Sleep,61,1,1,,,,93829-0
REM Sleep,57,1,3,,,,93829-0
Light Sleep,70,19,2,,,,93830-8
REM Sleep,56,2,3,,,,93829-0
Light Sleep,85,13,31,,,,93830-8
REM Sleep,67,1,0,,,,93829-0
Light Sleep,48,7,12,,,,93830-8
Light Sleep,73,10,18,,,,93830-8
REM Sleep,62,2,0,,,,93829-0
REM Sleep,73,0,0,,,,93829-0
Light Sleep,49,2,5,,,,93830-8
Light Sleep,50,4,27,,,,93830-8
Light Sleep,77,3,19,,,,93830-8
REM Sleep,49,2,6,,,,93829-0
REM Sleep,49,1,4,,,,93829-0
REM Sleep,56,2,2,,,,93829-0
Light Sleep,84,8,2,,,,93830-8
Light Sleep,68,0,16,,,,93830-8
Light Sleep,50,4,3,,,,93830-8
Light Sleep,85,11,24,,,,93830-8
Light Sleep,49,3,7,,,,93830-8
Light Sleep,80,11,21,,,,93830-8
Light Sleep,79,10,39,,,,93830-8
Light Sleep,84,10,40,,,,93830-8
Light Sleep,77,21,10,,,,93830-8
REM Sleep,68,0,3,,,,93829-0
Light Sleep,79,20,13,,,,93830-8
REM Sleep,65,0,0,,,,93829-0
REM Sleep,49,1,4,,,,93829-0
Light Sleep,77,2,10,,,,93830-8
Light Sleep,80,5,7,,,,93830-8
Light Sleep,55,5,8,,,,93830-8
Light Sleep,84,7,18,,,,93830-8
Light Sleep,80,11,26,,,,93830-8
Light Sleep,83,5,0,,,,93830-8
Light Sleep,66,5,1,,,,93830-8
REM Sleep,68,0,0,,,,93829-0
Light Sleep,55,6,16,,,,93830-8
Light Sleep,58,1,7,,,,93830-8
Light Sleep,76,1,12,,,,93830-8
Light Sleep,85,11,43,,,,93830-8
REM Sleep,65,1,0,,,,93829-0
Light Sleep,50,4,13,,,,93830-8
REM Sleep,60,3,1,,,,93829-0
Light Sleep,49,2,6,,,,93830-8
Light Sleep,75,5,6,,,,93830-8
Light Sleep,85,16,14,,,,93830-8
Light Sleep,50,3,8,,,,93830-8
Light Sleep,83,10,33,,,,93830-8
REM Sleep,49,0,0,,,,93829-0
Light Sleep,79,2,30,,,,93830-8
Light Sleep,51,3,4,,,,93830-8
Light Sleep,70,3,6,,,,93830-8
Light Sleep,56,7,7,,,,93830-8
Light Sleep,77,7,21,,,,93830-8
Light Sleep,55,2,3,,,,93830-8
Light Sleep,68,19,0,,,,93830-8
REM Sleep,49,4,4,,,,93829-0
Light Sleep,84,28,18,,,,93830-8
Light Sleep,83,0,0,,,,93830-8
Light Sleep,56,4,3,,,,93830-8
Light Sleep,49,4,10,,,,93830-8
REM Sleep,59,0,0,,,,93829-0
Light Sleep,84,10,16,,,,93830-8
Light Sleep,55,6,6,,,,93830-8
Light Sleep,50,5,20,,,,93830-8
Light Sleep,72,0,0,,,,93830-8
Light Sleep,84,0,-1,,,,93830-8
Light Sleep,78,10,17,,,,93830-8
Light Sleep,59,2,0,,,,93830-8
Light Sleep,83,15,14,,,,93830-8
Light Sleep,84,13,4,,,,93830-8
Light Sleep,57,5,3,,,,93830-8
Light Sleep,51,11,21,,,,93830-8
REM Sleep,55,3,2,,,,93829-0
Light Sleep,51,12,0,,,,93830-8
REM Sleep,66,-1,-1,,,,93829-0
Light Sleep,83,6,8,,,,93830-8
Light Sleep,49,4,5,,,,93830-8
Light Sleep,76,12,10,,,,93830-8
Light Sleep,77,19,40,,,,93830-8
