Datetime,Activity_Type
2022-12-08 00:48:00,4
2022-12-08 01:47:00,1
2022-12-08 01:53:00,5
2022-12-08 02:39:00,1
2022-12-08 04:37:00,4
2022-12-08 08:26:00,1
2022-12-08 08:27:00,3
2022-12-08 09:26:00,2
2022-12-08 11:23:00,1
2022-12-08 14:09:00,4
2022-12-08 14:22:00,4
2022-12-08 16:07:00,1
2022-12-08 18:16:00,4
2022-12-08 21:10:00,2
2022-12-08 22:10:00,3
2022-12-09 00:35:00,2
2022-12-09 00:54:00,3
2022-12-09 00:55:00,4
2022-12-09 01:51:00,1
2022-12-09 01:52:00,4
2022-12-09 04:34:00,4
2022-12-09 05:32:00,4
2022-12-09 05:37:00,3
2022-12-09 07:16:00,2
2022-12-09 07:29:00,6
2022-12-09 08:28:00,1
2022-12-09 08:29:00,1
2022-12-09 08:34:00,1
2022-12-09 09:28:00,4
2022-12-09 17:18:00,3
2022-12-09 18:23:00,5
2022-12-09 20:04:00,2
2022-12-09 21:03:00,6
2022-12-09 22:03:00,1
2022-12-09 22:03:00,2
2022-12-09 22:05:00,2
2022-12-10 00:52:00,2
2022-12-10 00:53:00,3
2022-12-10 00:57:00,4
2022-12-10 01:49:00,1
2022-12-10 03:54:00,1
2022-12-10 04:33:00,5
2022-12-10 05:30:00,2
2022-12-10 07:20:00,1
2022-12-10 09:27:00,1
2022-12-10 09:28:00,1
2022-12-10 10:18:00,3
2022-12-10 10:26:00,2
2022-12-10 11:25:00,1
2022-12-10 12:11:00,5
2022-12-10 13:19:00,2
2022-12-10 18:05:00,1
2022-12-10 18:09:00,1
2022-12-10 22:04:00,1
2022-12-10 22:06:00,2
2022-12-11 00:46:00,1
2022-12-11 00:52:00,2
2022-12-11 00:54:00,5
2022-12-11 01:40:00,1
2022-12-11 02:43:00,2
2022-12-11 03:48:00,2
2022-12-11 03:55:00,1
2022-12-11 03:55:00,2
2022-12-11 04:33:00,1
2022-12-11 06:22:00,1
2022-12-11 12:16:00,3
2022-12-11 15:15:00,5
2022-12-11 17:06:00,5
2022-12-11 19:15:00,1
2022-12-11 22:13:00,2
2022-12-12 01:40:00,4
2022-12-12 02:47:00,2
2022-12-12 02:48:00,1
2022-12-12 03:37:00,2
2022-12-12 03:45:00,5
2022-12-12 03:51:00,1
2022-12-12 05:34:00,1
2022-12-12 06:24:00,1
2022-12-12 07:20:00,3
2022-12-12 08:29:00,4
2022-12-12 08:37:00,5
2022-12-12 14:10:00,5
2022-12-12 19:05:00,1
2022-12-12 20:06:00,3
2022-12-12 20:07:00,2
2022-12-12 22:03:00,2
2022-12-13 01:34:00,1
2022-12-13 01:50:00,2
2022-12-13 02:37:00,4
2022-12-13 03:50:00,2
2022-12-13 07:30:00,4
2022-12-13 08:36:00,3
2022-12-13 10:14:00,4
2022-12-13 10:22:00,6
2022-12-13 12:25:00,1
2022-12-13 13:22:00,4
2022-12-13 21:10:00,2
2022-12-13 22:03:00,2
2022-12-13 22:03:00,4
2022-12-13 22:04:00,3
2022-12-14 01:33:00,3
2022-12-14 01:49:00,1
2022-12-14 01:51:00,5
2022-12-14 01:53:00,4
2022-12-14 03:34:00,3
2022-12-14 03:45:00,3
2022-12-14 03:50:00,3
2022-12-14 03:52:00,1
2022-12-14 03:53:00,5
2022-12-14 03:53:00,2
2022-12-14 04:29:00,1
2022-12-14 05:32:00,1
2022-12-14 05:33:00,2
2022-12-14 06:34:00,3
2022-12-14 07:32:00,2
