Datetime,Activity_Type
2022-12-08 00:51:00,5
2022-12-08 00:54:00,3
2022-12-08 01:53:00,4
2022-12-08 01:54:00,3
2022-12-08 02:44:00,4
2022-12-08 03:26:00,2
2022-12-08 03:47:00,3
2022-12-08 03:50:00,1
2022-12-08 03:51:00,2
2022-12-08 03:54:00,2
2022-12-08 04:34:00,3
2022-12-08 05:20:00,1
2022-12-08 05:22:00,2
2022-12-08 06:31:00,1
2022-12-08 08:20:00,4
2022-12-08 09:30:00,6
2022-12-08 10:23:00,1
2022-12-08 10:33:00,5
2022-12-08 15:12:00,2
2022-12-08 16:16:00,1
2022-12-08 21:04:00,1
2022-12-08 22:03:00,2
2022-12-08 22:06:00,2
2022-12-08 22:07:00,2
2022-12-09 01:46:00,3
2022-12-09 01:53:00,3
2022-12-09 04:37:00,5
2022-12-09 05:30:00,5
2022-12-09 05:33:00,3
2022-12-09 06:29:00,3
2022-12-09 06:32:00,4
2022-12-09 06:33:00,1
2022-12-09 06:38:00,3
2022-12-09 06:40:00,1
2022-12-09 07:36:00,1
2022-12-09 08:27:00,2
2022-12-09 08:31:00,4
2022-12-09 08:31:00,1
2022-12-09 10:26:00,1
2022-12-09 13:12:00,1
2022-12-09 13:21:00,1
2022-12-09 14:09:00,3
2022-12-09 16:08:00,4
2022-12-09 17:05:00,1
2022-12-09 18:05:00,1
2022-12-09 22:09:00,1
2022-12-09 22:11:00,1
2022-12-10 01:52:00,4
2022-12-10 04:43:00,3
2022-12-10 05:33:00,3
2022-12-10 06:22:00,3
2022-12-10 08:26:00,2
2022-12-10 08:32:00,2
2022-12-10 08:37:00,4
2022-12-10 09:26:00,1
2022-12-10 12:12:00,1
2022-12-10 16:09:00,1
2022-12-10 16:18:00,1
2022-12-10 19:18:00,4
2022-12-10 20:09:00,1
2022-12-11 00:43:00,2
2022-12-11 00:57:00,4
2022-12-11 01:50:00,1
2022-12-11 03:47:00,3
2022-12-11 03:51:00,1
2022-12-11 05:32:00,2
2022-12-11 06:31:00,1
2022-12-11 08:38:00,2
2022-12-11 11:21:00,3
2022-12-11 13:24:00,3
2022-12-11 14:22:00,2
2022-12-11 15:09:00,1
2022-12-11 17:05:00,4
2022-12-11 18:15:00,2
2022-12-11 22:07:00,3
2022-12-11 22:16:00,3
2022-12-12 01:55:00,1
2022-12-12 02:44:00,1
2022-12-12 02:52:00,3
2022-12-12 05:33:00,3
2022-12-12 08:30:00,5
