Datetime,Activity_Type
2022-12-29 07:12:00,2
2022-12-10 03:49:00,2
2022-12-18 03:49:00,4
2022-12-14 03:07:00,2
2022-12-18 14:49:00,5
2022-12-09 18:51:00,4
2022-12-18 03:15:00,1
2022-12-26 05:18:00,2
2022-12-25 22:02:00,2
2022-12-14 08:20:00,3
2022-12-26 05:31:00,3
2022-12-20 21:42:00,5
2022-12-24 01:03:00,2
2022-12-15 11:19:00,1
2022-12-29 14:10:00,1
2022-12-19 01:52:00,1
2022-12-24 04:28:00,1
2022-12-21 21:13:00,3
2022-12-17 11:36:00,1
2022-12-18 03:42:00,4
2022-12-19 05:29:00,5
2022-12-26 04:43:00,5
2022-12-15 03:17:00,3
2022-12-26 03:41:00,1
2022-12-14 01:05:00,2
2022-12-21 03:08:00,4
2022-12-17 07:53:00,3
2022-12-13 03:41:00,1
2022-12-10 00:32:00,3
2022-12-25 21:41:00,2
2022-12-27 03:25:00,2
2022-12-11 03:13:00,1
2022-12-23 11:45:00,1
2022-12-16 01:06:00,5
2022-12-29 02:17:00,2
2022-12-21 08:44:00,2
2022-12-14 00:06:00,3
2022-12-15 15:33:00,1
2022-12-15 05:05:00,3
2022-12-27 17:37:00,3
2022-12-27 11:17:00,2
2022-12-20 01:09:00,2
2022-12-26 06:42:00,1
2022-12-18 04:44:00,1
2022-12-25 13:27:00,1
2022-12-29 20:53:00,1
2022-12-25 02:53:00,1
2022-12-11 04:37:00,3
2022-12-29 06:05:00,2
2022-12-30 22:18:00,1
2022-12-26 02:52:00,3
2022-12-22 05:33:00,1
2022-12-09 05:38:00,3
2022-12-17 15:02:00,1
2022-12-24 16:05:00,2
2022-12-30 12:33:00,1
2022-12-24 09:11:00,1
2022-12-14 19:52:00,1
2022-12-25 20:04:00,1
2022-12-17 00:20:00,2
2022-12-13 01:01:00,2
2022-12-19 00:25:00,2
2022-12-12 20:45:00,1
2022-12-14 18:29:00,1
2022-12-14 14:28:00,2
2022-12-20 03:13:00,3
2022-12-11 16:04:00,2
2022-12-21 01:54:00,5
2022-12-29 15:06:00,4
2022-12-08 06:49:00,2
2022-12-21 06:45:00,3
2022-12-24 06:30:00,4
2022-12-12 15:54:00,4
2022-12-08 04:43:00,5
2022-12-30 03:38:00,3
2022-12-22 03:51:00,3
2022-12-25 11:07:00,1
2022-12-20 01:28:00,2
2022-12-13 03:06:00,2
2022-12-19 06:32:00,2
2022-12-10 04:05:00,2
2022-12-20 08:06:00,5
2022-12-26 22:18:00,3
2022-12-14 04:53:00,1
2022-12-28 22:25:00,2
2022-12-11 01:50:00,2
2022-12-12 06:34:00,5
2022-12-27 05:26:00,2
2022-12-15 17:53:00,4
2022-12-27 12:37:00,1
2022-12-26 03:51:00,1
2022-12-18 06:07:00,4
2022-12-21 09:57:00,3
2022-12-17 03:17:00,2
2022-12-08 00:46:00,2
2022-12-11 06:39:00,5
2022-12-11 13:33:00,1
2022-12-20 10:52:00,1
2022-12-30 18:44:00,4
2022-12-16 02:04:00,4
2022-12-29 22:16:00,3
2022-12-21 04:24:00,3
2022-12-11 19:28:00,1
2022-12-24 03:00:00,2
2022-12-27 12:29:00,1
2022-12-11 21:06:00,3
2022-12-30 01:53:00,3
2022-12-25 00:54:00,1
2022-12-19 21:36:00,1
2022-12-28 03:08:00,2
2022-12-17 03:42:00,2
2022-12-24 01:08:00,1
2022-12-21 22:02:00,2
2022-12-22 03:08:00,1
2022-12-12 22:33:00,2
2022-12-13 03:40:00,2
2022-12-23 10:24:00,1
2022-12-17 07:12:00,2
2022-12-29 08:09:00,3
2022-12-11 19:30:00,4
2022-12-19 10:09:00,2
2022-12-21 04:53:00,3
2022-12-12 17:50:00,1
2022-12-20 06:06:00,5
2022-12-09 07:27:00,3
2022-12-15 02:45:00,2
2022-12-22 19:34:00,1
2022-12-12 10:40:00,3
2022-12-21 03:54:00,1
2022-12-27 05:34:00,5
2022-12-27 10:24:00,1
2022-12-21 02:53:00,3
2022-12-18 04:08:00,4
2022-12-20 04:28:00,1
2022-12-19 21:49:00,3
2022-12-14 06:48:00,2
2022-12-27 17:26:00,2
2022-12-26 04:31:00,1
2022-12-29 04:28:00,1
2022-12-09 08:05:00,1
2022-12-20 01:15:00,4
2022-12-27 04:01:00,2
2022-12-16 10:22:00,1
2022-12-30 07:03:00,1
2022-12-27 07:18:00,1
2022-12-29 03:40:00,1
2022-12-14 21:34:00,1
2022-12-19 17:31:00,2
2022-12-24 19:27:00,3
2022-12-25 03:16:00,4
2022-12-28 06:28:00,1
2022-12-19 16:08:00,1
2022-12-29 03:14:00,1
2022-12-19 08:44:00,4
2022-12-13 00:53:00,1
2022-12-23 06:52:00,1
2022-12-26 20:08:00,5
2022-12-18 10:53:00,5
2022-12-29 19:27:00,2
2022-12-14 07:11:00,1
2022-12-23 07:13:00,1
2022-12-11 05:28:00,5
2022-12-14 19:03:00,1
2022-12-28 04:31:00,4
2022-12-24 11:07:00,2
2022-12-18 22:47:00,2
2022-12-15 07:41:00,3
2022-12-14 01:05:00,5
2022-12-14 18:22:00,2
2022-12-08 15:40:00,2
2022-12-16 18:07:00,4
2022-12-08 11:39:00,2
2022-12-09 01:34:00,1
2022-12-23 01:26:00,2
2022-12-17 02:33:00,4
2022-12-13 02:14:00,1
2022-12-25 15:03:00,2
2022-12-21 01:07:00,3
2022-12-24 02:50:00,3
2022-12-12 08:52:00,4
2022-12-18 17:14:00,3
2022-12-09 03:50:00,2
2022-12-23 00:52:00,2
2022-12-09 17:52:00,3
2022-12-24 10:43:00,1
2022-12-27 18:09:00,4
2022-12-11 10:13:00,1
2022-12-26 02:50:00,2
2022-12-11 00:46:00,3
2022-12-16 00:06:00,2
2022-12-21 20:49:00,1
2022-12-17 00:43:00,3
2022-12-24 03:01:00,4
2022-12-30 22:25:00,1
2022-12-25 13:07:00,4
2022-12-16 17:28:00,2
2022-12-15 08:32:00,2
2022-12-14 01:45:00,1
2022-12-13 00:23:00,2
2022-12-10 13:41:00,3
2022-12-22 22:12:00,2
2022-12-28 19:10:00,4
2022-12-27 03:44:00,4
2022-12-08 22:38:00,5
2022-12-14 05:06:00,4
2022-12-24 02:53:00,4
2022-12-20 09:10:00,1
2022-12-08 06:07:00,1
2022-12-24 22:21:00,4
2022-12-21 09:45:00,2
2022-12-08 22:12:00,1
2022-12-23 05:25:00,4
2022-12-15 05:31:00,2
2022-12-23 01:25:00,3
2022-12-30 18:41:00,2
2022-12-16 02:41:00,1
2022-12-11 20:07:00,2
2022-12-30 04:20:00,3
2022-12-26 09:27:00,5
2022-12-08 11:51:00,3
2022-12-19 20:32:00,1
2022-12-18 09:16:00,1
2022-12-08 22:08:00,1
2022-12-19 07:52:00,1
2022-12-14 22:23:00,1
2022-12-19 00:43:00,1
2022-12-29 01:44:00,6
2022-12-16 05:30:00,1
2022-12-14 11:54:00,2
2022-12-12 21:07:00,1
2022-12-30 08:53:00,5
2022-12-28 21:22:00,5
2022-12-16 02:25:00,3
2022-12-10 03:43:00,4
2022-12-19 22:06:00,3
2022-12-30 13:05:00,4
2022-12-11 21:35:00,1
2022-12-10 20:12:00,2
2022-12-18 12:13:00,2
2022-12-09 01:52:00,2
2022-12-27 10:51:00,1
2022-12-23 05:22:00,2
2022-12-14 22:33:00,1
2022-12-14 15:09:00,5
2022-12-24 22:30:00,5
